car_name,Engine,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Kilometers_Driven,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Power,Price,Region_North,Region_South,Region_West,Seats,Transmission_Manual,Year,car_age,car_make,car_model,car_spec,mileage_no,mileage_unit
Ambassador Classic,1489.0,True,False,False,False,80000,False,False,True,35.5,1.35,False,True,False,5.0,True,2003,22,Ambassador,Classic,Nova Diesel,12.8,kmpl
Audi A3,1968.0,True,False,False,False,79271,False,False,False,143.0,16.5,False,True,False,5.0,False,2014,11,Audi,A3,35 TDI Attraction,20.38,kmpl
Audi A3,1968.0,True,False,False,False,22000,False,True,False,143.0,22.5,True,False,False,5.0,False,2017,8,Audi,A3,35 TDI Technology,20.38,kmpl
Audi A3,1968.0,True,False,False,False,20003,False,False,False,143.0,19.25,False,False,True,5.0,False,2016,9,Audi,A3,35 TDI Premium,20.38,kmpl
Audi A3,1968.0,True,False,False,False,39000,False,False,False,143.0,18.9,False,False,True,5.0,False,2016,9,Audi,A3,35 TDI Premium Plus,20.38,kmpl
Audi A4,1968.0,True,False,False,False,40670,False,True,False,140.8,17.74,False,True,False,5.0,False,2013,12,Audi,A4,New 2.0 TDI Multitronic,15.2,kmpl
Audi A4,1968.0,True,False,False,False,13648,False,False,False,174.33,21.43,False,True,False,5.0,False,2015,10,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,65664,False,False,False,140.0,13.5,True,False,False,5.0,False,2012,13,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,2967.0,True,False,False,False,30000,False,False,False,241.40000000000003,9.8,False,False,False,5.0,False,2010,15,Audi,A4,3.0 TDI Quattro Premium,14.94,kmpl
Audi A4,1968.0,True,False,False,False,48214,False,False,False,174.33,23.32,False,True,False,5.0,False,2015,10,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,45979,False,True,False,174.33,19.5,False,True,False,5.0,False,2013,12,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,46000,False,True,False,147.51,10.99,True,False,False,5.0,False,2011,14,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,47346,False,False,False,147.51,14.5,False,False,False,5.0,False,2012,13,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,59000,False,False,False,140.0,12.5,False,False,True,5.0,False,2011,14,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,1968.0,True,False,False,False,34000,False,False,False,147.51,9.95,False,False,False,5.0,False,2009,16,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,45000,False,False,False,187.74,25.0,False,True,False,5.0,False,2015,10,Audi,A4,35 TDI Technology,18.25,kmpl
Audi A4,1968.0,True,False,False,False,77395,False,False,False,174.33,14.35,False,True,False,5.0,False,2014,11,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,36000,False,True,False,147.51,14.0,True,False,False,5.0,False,2013,12,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,68193,False,False,False,174.33,24.74,False,True,False,5.0,False,2016,9,Audi,A4,35 TDI Premium,17.11,kmpl
Audi A4,1968.0,True,False,False,False,21000,False,False,False,174.33,24.5,False,True,False,5.0,False,2014,11,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,60000,False,True,False,140.8,10.35,True,False,False,5.0,False,2012,13,Audi,A4,New 2.0 TDI Multitronic,15.2,kmpl
Audi A4,2967.0,True,False,False,False,46913,False,False,False,241.40000000000003,16.11,False,True,False,5.0,False,2012,13,Audi,A4,3.0 TDI Quattro Premium,14.94,kmpl
Audi A4,1968.0,True,False,False,False,45330,False,False,False,147.51,13.19,False,True,False,5.0,False,2013,12,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,70000,False,False,False,174.33,18.0,False,True,False,5.0,False,2014,11,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,82002,False,True,False,147.51,17.5,False,False,True,5.0,False,2013,12,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,44555,False,False,False,140.8,13.5,True,False,False,5.0,False,2012,13,Audi,A4,New 2.0 TDI Multitronic,15.2,kmpl
Audi A4,1968.0,True,False,False,False,67000,False,False,False,147.51,14.5,True,False,False,5.0,False,2013,12,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,24000,False,False,False,174.33,25.0,False,True,False,5.0,False,2014,11,Audi,A4,2.0 TDI 177 Bhp Technology Edition,17.11,kmpl
Audi A4,1968.0,True,False,False,False,105000,False,True,False,140.0,14.5,True,False,False,5.0,False,2011,14,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,1968.0,True,False,False,False,45200,False,False,False,147.51,13.5,False,False,True,5.0,False,2013,12,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,50000,False,False,False,174.33,25.0,False,True,False,5.0,False,2015,10,Audi,A4,35 TDI Premium,17.11,kmpl
Audi A4,1984.0,False,False,False,True,38000,False,False,False,132.0,12.0,False,False,True,5.0,False,2011,14,Audi,A4,2.0 TFSI,10.8,kmpl
Audi A4,1968.0,True,False,False,False,60000,False,False,False,147.51,24.0,False,True,False,5.0,False,2014,11,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,87000,False,False,False,174.33,15.5,False,False,True,5.0,False,2013,12,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,85000,False,False,False,147.51,13.95,False,True,False,5.0,False,2011,14,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,1968.0,True,False,False,False,11000,False,False,False,174.33,28.0,False,True,False,5.0,False,2016,9,Audi,A4,35 TDI Premium Sport,17.11,kmpl
Audi A4,1968.0,True,False,False,False,39644,False,False,False,174.33,25.75,False,True,False,5.0,False,2016,9,Audi,A4,35 TDI Premium,17.11,kmpl
Audi A4,1968.0,True,False,False,False,21979,False,False,False,174.33,23.45,False,True,False,5.0,False,2015,10,Audi,A4,2.0 TDI Premium Sport Limited Edition,17.11,kmpl
Audi A4,1968.0,True,False,False,False,57773,False,True,False,174.33,20.04,False,True,False,5.0,False,2014,11,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1781.0,False,False,False,True,38001,False,False,False,163.2,8.5,False,False,False,5.0,False,2010,15,Audi,A4,1.8 TFSI,12.3,kmpl
Audi A4,1968.0,True,False,False,False,53000,False,False,False,140.0,20.5,False,True,False,5.0,False,2014,11,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,1968.0,True,False,False,False,32205,False,False,False,174.33,25.31,False,True,False,5.0,False,2015,10,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1395.0,False,False,False,True,61221,False,False,False,147.51,21.73,False,True,False,5.0,False,2017,8,Audi,A4,30 TFSI Premium Plus,17.84,kmpl
Audi A4,1968.0,True,False,False,False,69000,False,True,False,140.8,10.25,True,False,False,5.0,False,2012,13,Audi,A4,New 2.0 TDI Multitronic,15.2,kmpl
Audi A4,1968.0,True,False,False,False,60001,False,False,False,174.33,14.5,False,False,False,5.0,False,2013,12,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1781.0,False,False,False,True,53000,False,False,False,163.2,9.5,False,False,True,5.0,False,2011,14,Audi,A4,1.8 TFSI,12.3,kmpl
Audi A4,1968.0,True,False,False,False,40000,False,False,False,174.33,22.5,False,True,False,5.0,False,2014,11,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,74002,False,False,False,140.0,18.5,False,False,True,5.0,False,2012,13,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,1968.0,True,False,False,False,39237,False,False,False,174.33,25.64,False,True,False,5.0,False,2016,9,Audi,A4,35 TDI Premium,17.11,kmpl
Audi A4,1968.0,True,False,False,False,60000,False,True,False,140.8,16.0,True,False,False,5.0,False,2012,13,Audi,A4,New 2.0 TDI Multitronic,15.2,kmpl
Audi A4,1968.0,True,False,False,False,59000,False,False,False,140.0,10.0,True,False,False,5.0,False,2010,15,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,1968.0,True,False,False,False,40000,False,False,False,174.33,17.5,False,False,False,5.0,False,2014,11,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,kmpl
Audi A4,1968.0,True,False,False,False,58970,False,False,False,174.33,23.75,False,True,False,5.0,False,2015,10,Audi,A4,35 TDI Premium,17.11,kmpl
Audi A4,1968.0,True,False,False,False,76000,False,True,False,147.51,18.25,False,True,False,5.0,False,2013,12,Audi,A4,2.0 TDI,16.55,kmpl
Audi A4,3197.0,False,False,False,True,125000,False,False,False,183.92000000000002,18.0,False,True,False,5.0,False,2012,13,Audi,A4,3.2 FSI Tiptronic Quattro,10.5,kmpl
Audi A4,2967.0,True,False,False,False,35463,False,False,False,241.40000000000003,25.02,False,True,False,5.0,False,2015,10,Audi,A4,3.0 TDI Quattro,14.94,kmpl
Audi A4,1968.0,True,False,False,False,88000,False,False,False,140.0,7.98,True,False,False,5.0,False,2009,16,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,1968.0,True,False,False,False,13506,False,False,False,187.74,21.66,False,True,False,5.0,False,2015,10,Audi,A4,35 TDI Premium Plus,18.25,kmpl
Audi A4,1968.0,True,False,False,False,58000,False,False,False,140.0,11.0,True,False,False,5.0,False,2011,14,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,1968.0,True,False,False,False,60000,False,False,False,174.33,25.0,False,True,False,5.0,False,2015,10,Audi,A4,35 TDI Premium,17.11,kmpl
Audi A4,1968.0,True,False,False,False,60000,False,True,False,140.8,10.2,True,False,False,5.0,False,2012,13,Audi,A4,New 2.0 TDI Multitronic,15.2,kmpl
Audi A4,1968.0,True,False,False,False,38163,False,False,False,174.33,32.91,False,True,False,5.0,False,2019,6,Audi,A4,35 TDI Technology Edition,17.11,kmpl
Audi A4,1968.0,True,False,False,False,13000,False,False,False,140.0,23.0,False,False,True,5.0,False,2015,10,Audi,A4,2.0 TDI Multitronic,16.55,kmpl
Audi A4,1968.0,True,False,False,False,30000,False,False,False,174.33,27.0,False,True,False,5.0,False,2015,10,Audi,A4,35 TDI Technology Edition,17.11,kmpl
Audi A4,1968.0,True,False,False,False,52000,False,False,False,147.51,19.5,False,True,False,5.0,False,2013,12,Audi,A4,2.0 TDI,16.55,kmpl
